CODICE UNIVOCO GIORNALE;LINK;ESTREMA SINISTRA;SINISTRA;CENTROSINISTRA;CENTRO;CENTRODESTRA;DESTRA;ESTREMA DESTRA;NESSUN ORIENTAMENTO;KEYWORD
1;https://www.corriere.it/;1;10;25;32;18;6;1;7;CORRIERE DELLA SERA
2;https://www.ilsole24ore.com/;1;4;8;31;21;7;2;26;IL SOLE 24 ORE
3;https://www.ilpost.it/;;;;;;;;;IL POST
4;https://www.laverita.info/;1;3;2;7;31;33;17;5;LA VERITÀ
5;https://www.internazionale.it/;;;;;;;;;INTERNAZIONALE
6;https://www.ilfoglio.it/;;;;;;;;;IL FOGLIO
7;https://www.unita.it/?refresh_ce;;;;;;;;;UNITÀ
8;https://ilmanifesto.it/;;;;;;;;;IL MANIFESTO
9;https://lespresso.it/;;;;;;;;;L'ESPRESSO
10;https://www.lastampa.it/;1;11;27;30;17;6;2;6;LA STAMPA
11;https://www.italiaoggi.it/;4;3;14;35;15;10;4;16;ITALIA OGGI
12;https://www.avvenire.it/;2;10;14;33;14;14;4;9;AVVENIRE
13;https://www.quotidiano.net/;1;7;14;19;31;18;5;6;QUOTIDIANO NAZIONALE
14;https://www.ilmessaggero.it/;1;10;19;29;22;13;1;5;IL MESSAGGERO
15;https://www.ilmattino.it/;3;8;23;32;22;7;1;5;IL MATTINO
16;https://www.ilrestodelcarlino.it/;3;10;23;23;23;11;2;5;IL RESTO DEL CARLINO
17;https://www.liberoquotidiano.it;2;7;5;4;25;39;15;5;LIBERO
18;https://www.repubblica.it;3;29;47;7;5;5;1;3;LA REPUBBLICA
19;https://www.ilgiornale.it;1;2;5;8;35;39;9;1;IL GIORNALE
20;https://www.ilfattoquotidiano.it;3;24;20;12;14;10;2;14;IL FATTO QUOTIDIANO
21;https://www.panorama.it;;;;;;;;;
